State,Mean,Participation
Alabama,18.7,100
Alaska,20.6,16
Arizona,19.8,35
Arkansas,19,99
California,26.1,5
Colorado,23.6,16
Connecticut,27.2,9
Delaware,25.7,5
District of Columbia,25.6,19
Florida,20.4,34
Georgia,22.6,24
Hawaii,18.2,67
Idaho,23,16
Illinois,25.2,19
Indiana,23.1,14
Iowa,21.5,47
Kansas,19.9,79
Kentucky,19.2,100
Louisiana,18.4,98
Maine,25.6,2
Maryland,25.5,8
Massachusetts,27.6,7
Michigan,25.1,9
Minnesota,21.6,60
Mississippi,18.1,100
Missouri,20.6,63
Montana,20.4,70
Nebraska,20,86
Nevada,17.8,100
New Hampshire,26.6,4
New Jersey,25.1,12
New Mexico,20.7,23
New York,26.3,9
North Carolina,18.9,92
North Dakota,19.6,100
Ohio,19.6,85
Oklahoma,19.7,58
Oregon,20.6,20
Pennsylvania,25,7
Rhode Island,25.8,4
South Carolina,18.6,50
South Dakota,21.6,55
Tennessee,19.1,100
Texas,20.1,23
Utah,20.6,86
Vermont,24.7,4
Virginia,25.5,9
Washington,23.6,7
West Virginia,20.8,30
Wisconsin,20,96
Wyoming,19.8,91
