Id,SalePrice
2658,132748.11288051328
2718,151767.50645611918
2414,237220.91501811822
1989,113739.25070648456
625,186761.61714887395
333,84428.82774962058
1327,99963.93449467681
858,159281.37395805962
95,171900.45588821324
1568,163169.2943110899
2482,148438.16594564676
1364,121178.00580022568
2584,152254.58287911865
818,264151.7168363392
2673,142013.05815901043
2089,127163.63058160243
1297,164992.73776405468
790,119450.80157846992
2616,190010.51077096132
720,199108.4878615932
222,156531.70519645602
557,125915.13620021529
1148,175275.94243823536
2766,173017.49241799352
534,180096.56986883614
1452,126682.46612652836
630,128724.53824148321
2648,133325.28126362455
125,168183.48898910667
1904,35792.07261584996
1670,96583.04688422331
756,102385.92593579201
717,187644.19557272262
1032,153194.83562992926
852,223035.1760581057
1731,181413.74130176255
2639,115245.48486717376
2071,78298.2661542421
1267,145070.31328711522
1851,188796.0047694206
567,173686.02449657128
2439,210766.34581872929
1898,153298.7126872259
647,173345.09314489076
2256,209943.41148197596
979,94077.21207106444
1444,225682.20597954735
2485,126479.92756749282
157,132464.95581517584
88,117132.91326344095
2003,107487.81872222663
186,216349.2239367848
1425,238791.28059279104
2695,127085.41556442287
738,95636.77432401266
395,157570.42246064486
1353,171085.38599807658
1878,148882.9031754537
390,162280.59196185888
1456,231250.70691625334
1103,311844.5596291137
1387,116088.62558517052
2070,147003.47651033587
1199,166141.3561181737
2479,184267.87612303058
501,322215.1144255104
2362,86814.1176129258
1718,231610.82006890353
2188,74500.41971343028
1483,162143.6985144196
2557,89890.307315425
437,351694.1969875137
2224,198040.13486817238
1628,186470.89349546205
397,139356.63935199703
587,196729.71651172597
971,154402.8354275588
2611,141709.75962219413
1887,86986.16358148144
2399,362469.5786252669
2148,200481.26150398835
304,139015.1021320896
1997,136986.57094910933
2817,103927.32379541195
1431,211252.2395801057
427,338671.1187582597
263,132683.1364269376
598,183434.37779515007
2895,221390.342316997
687,134184.62590972066
1822,135268.1152652161
2191,98934.63159211188
179,114525.20274469058
1009,254226.61465282188
2010,125732.59129302858
1991,147117.50943108374
1411,210880.1073414475
1721,246646.77499982785
1144,198182.00373252918
593,218760.82319587554
575,292980.76870523073
1249,166392.6526120924
1604,127437.41185067577
1064,437531.3894374544
1923,149552.63716270545
1988,109149.59113648474
2325,172314.3359570732
114,193183.65601222654
2700,160317.53200329648
217,115813.60812679864
343,189034.99611018965
386,218025.73116262804
2005,99776.19308073251
2908,122101.54262294117
1814,236567.95518959162
2446,436740.74354265974
208,145768.217046829
1679,106736.29219687969
822,306118.22490621026
6,190158.9495409522
1781,357401.5845957792
2397,319284.02778972225
2340,320376.7502029642
1618,166999.26989674795
2843,163575.68488714934
1061,352032.3600023363
2786,127475.14951804272
1935,135816.0666804897
1341,123044.03675930685
521,253148.99273501814
2136,142878.27520010955
996,200672.8449527376
227,144251.08688116315
135,169249.0436039449
1167,160470.73911156075
294,226913.93156827468
1776,202592.1200772462
540,169299.83903420938
1717,243914.72760223097
2303,121687.7014546425
116,189347.29765255566
127,148080.36717992614
1371,132069.96172610452
1014,149615.32801031083
1507,97518.09693777349
702,140937.93566745875
750,149353.18693369304
261,142603.92379803298
1559,68264.22391102332
577,212713.4523180811
2812,195515.55230863683
2080,151410.88078987488
1368,100543.48234478118
2376,127686.0377717095
659,121070.15327391977
1235,139484.3900743831
332,72606.92581609124
1917,142859.42760297222
2094,236765.40764545018
1460,252607.13428457742
1471,221403.39925182704
1509,113236.63965402068
1922,123037.71571297942
433,448917.1553338433
460,277151.1182674712
1116,230635.71541971344
1137,161185.1487640922
53,167015.6243107733
2354,259106.94921303465
1475,201112.25131921115
1761,407533.5242492805
842,138161.65063241584
2739,165617.8861017051
2509,156298.9580248484
1007,204373.65331551604
2610,175247.6305461916
1952,97971.00539554116
2719,155464.1381797452
2921,83249.52872614944
1966,152868.38368651693
292,124758.02240405505
1204,195515.7941499399
1829,250059.06898705673
2419,202024.77263998226
391,161533.05460000507
798,117517.82187880762
481,213028.93599301693
193,180034.08727107785
555,125980.13388135337
899,45105.32215376402
2357,194600.10139522975
328,142325.69054925596
1356,99646.73530743149
1154,105207.8380488551
1730,195428.96106555595
2249,177395.1346330415
1119,291118.54994500545
2856,134053.51036030205
1394,125501.69326962615
2587,123787.01683507055
61,318844.7524177124
2661,173123.38855176698
2711,123429.59616171088
1147,184986.21350202043
757,126359.56670080988
2623,100243.54012816916
2378,137557.6274838578
1413,145989.3720951359
1722,239698.2945924736
1112,227890.88582545094
1623,188006.53458184717
1201,207341.4596471394
1513,110565.29519415421
957,346506.1944427438
1171,243220.73654753546
1145,196926.96490803617
2726,207378.95537435944
703,157612.02501504507
760,122889.27968898497
1964,159955.00919604057
2512,193627.49057127838
159,127985.01381871672
1281,181921.23716637492
468,195597.4966588538
290,138606.09090714442
665,104634.04089692021
1463,246374.449987607
1792,217190.88426615018
923,163711.1382759397
500,283812.62204133155
1408,145913.1390012177
331,78509.42873778414
170,150543.58662963295
2192,89384.30004459576
2571,220539.10168205286
2314,166573.4043656492
2647,85459.80094518731
422,412510.1679838451
2457,310379.8443719818
1838,189032.74131186382
2805,249282.13176256957
1645,157385.56623323355
1711,313146.02177616756
2825,223771.33691612177
322,296505.89419857436
2103,257380.88111661334
342,118007.68331910193
600,123292.85981322051
488,168603.64781555184
1725,305147.62719658617
2246,301492.3580808688
2847,140702.6642389514
806,232674.4228385833
530,225415.2762253211
963,188289.74408271868
2678,109119.53818843243
171,86272.74926501318
2401,408535.31329221616
805,227058.29923934987
2259,253511.76359500585
1748,205758.17985059423
1361,135384.38008671597
1677,112394.21922505094
1406,175144.00554789498
2322,253219.8185153943
688,155204.3446972457
143,136964.3963455995
804,217348.17836147815
1214,219705.93337394806
2828,149044.29775531642
1999,198052.83301318903
2467,207516.85960097535
2665,180741.24940063307
1538,308199.28966502467
398,117647.045699599
2822,146649.92404941833
2157,150368.5730453324
1856,183971.94074648808
1269,112588.42156632653
2570,113202.23102525425
2320,241882.29267788943
1517,133130.36875322295
2304,112509.10371782522
1312,100433.07015426559
2012,142096.4515073182
506,258310.9044195151
2865,208418.41314718878
2367,101701.98320120288
554,97563.06152970194
238,133286.4301221454
1954,104797.0357071766
2488,132965.14910200908
2291,76122.89315296456
1969,106430.07594427787
2725,161907.23035555863
1482,157559.59322508986
2763,208792.9895715625
503,272742.10579402326
1584,249937.26787722463
1531,169599.0508220319
2210,184510.38379196406
459,323247.21357203217
556,127757.50003540603
1347,135452.2895186056
1290,76429.61633678236
1388,100604.56505337342
1571,277174.4800938285
2754,216210.63035155955
765,142062.26280745518
2494,124144.31106151451
2870,229812.28664754523
7,248544.75139760703
1114,234653.2999444515
2418,273090.3494060169
291,122544.11290075732
18,363561.3604363956
39,379978.61271606025
1001,282395.66752270074
2442,227763.9267982078
616,122416.87322103069
2680,67551.4792984633
1414,124201.44699073286
289,157452.00063899544
40,276205.2577650106
860,137522.4972288663
409,115674.20069296536
673,153772.5432438041
2427,184837.38838223185
2036,212497.21539986218
2564,141494.46601651033
642,160061.4880880713
1008,183720.37180368006
1908,140831.72525016262
2519,194257.1958043172
1369,95114.36504074372
2855,158759.25972374057
712,85085.20485132988
1943,119366.16013785242
1958,129483.91929045165
107,174352.90462306998
2295,200874.9039322131
704,103253.58198384602
676,140389.99747267662
259,179756.73697055128
93,292115.40086454636
106,239324.3421236739
2315,168377.75017671418
1050,103628.10952254628
1095,221298.6721897127
2709,158816.79945956866
758,131509.24028254586
1496,162484.28480556284
2370,116906.05879826496
2458,287947.1485563005
2733,134477.95054810273
161,245681.34609479748
726,154143.62896882836
845,213809.33244172973
947,241132.1644205924
2232,111889.85406409505
2563,139135.2331335317
2299,135498.10300643058
211,76145.58490494988
605,149705.65878577455
1478,203333.46941197
2247,287010.0537357384
2274,230686.40877813584
2869,209959.62873985106
967,209320.54135657
2656,114954.9957392972
667,195088.22231446436
1042,108601.95713709947
2023,160522.55499411165
2447,363829.06922402227
2055,135806.85182765906
2275,286419.8370869945
2204,184516.45176690485
1563,282975.7385776553
483,238381.68495118222
796,127101.30455492725
1526,161150.49732145906
2042,125727.03955305723
442,341796.62773800053
1693,332755.72667947225
1468,225887.93424626387
1430,184741.26826830968
2605,162008.0867959055
1529,200728.64660516713
335,140766.37029608077
1287,119892.48648005987
31,97315.89711925226
1785,317401.6315915131
82,172833.00551940093
2620,128643.16186729338
252,175670.73475575502
